Price,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
Ticker,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA
Date,,,,,,,,,,,,,,
2019-12-30,70.65587615966797,5.783753395080566,0.0,0.0,70.9394530222181,5.88034857016189,69.1289443056518,5.752385035074509,70.15659330471975,5.8751205101608805,0.0,0.0,144114400,258056000
2019-12-31,71.1721420288086,5.857941627502441,0.0,0.0,71.17941285266416,5.867401993037709,70.17115003082196,5.72923117722422,70.27052288789162,5.7484007278269775,0.0,0.0,100805600,231004000
2020-01-02,72.79602813720703,5.972710132598877,0.0,0.0,72.85662080131382,5.972710132598877,71.5453946624551,5.8932934905146945,71.79988089307743,5.943831396827032,0.0,0.0,135480400,237536000
2020-01-03,72.08831024169922,5.87711238861084,0.0,0.0,72.85177641142324,5.920928852475165,71.86290728239744,5.828067864414396,72.02044674653634,5.852963593311093,0.0,0.0,146322800,205384000
2020-01-06,72.66271209716797,5.901757717132568,0.0,0.0,72.70149228565275,5.906985776484988,70.95400211001883,5.757612380789321,71.20606963688756,5.783752677551418,0.0,0.0,118387200,262636000
2020-01-07,72.32097625732422,5.973208904266357,0.0,0.0,72.9293215125039,6.019016870261898,72.10041809515171,5.885078345508204,72.67240923493256,5.930139377975761,0.0,0.0,108872000,314856000
2020-01-08,73.48433685302734,5.98441219329834,0.0,0.0,73.7873000784854,6.025739034600884,72.02284254928021,5.928895038944445,72.02284254928021,5.968976832702461,0.0,0.0,132079200,277108000
2020-01-09,75.04522705078125,6.050136089324951,0.0,0.0,75.23912061605091,6.122582464697482,74.21389747975358,5.996361626623483,74.46595763529108,6.070799508067486,0.0,0.0,170108400,255112000
2020-01-10,75.21488189697266,6.082499980926514,0.0,0.0,75.78203573703135,6.1878085769213,74.71075419050038,6.068309669696577,75.28032670743771,6.157435973615166,0.0,0.0,140644800,316296000
2020-01-13,76.8218002319336,6.2732014656066895,0.0,0.0,76.84846485002203,6.2983460126438064,75.41362732738085,6.142997129096606,75.5323939772133,6.165652530748785,0.0,0.0,121532000,319840000
2020-01-14,75.7844467163086,6.156191825866699,0.0,0.0,76.96964264584395,6.255774255425361,75.66084272483062,6.142996791879736,76.75878138146395,6.230380415366528,0.0,0.0,161954400,359088000
2020-01-15,75.45968627929688,6.113620758056641,0.0,0.0,76.4679491910842,6.191295205965632,75.02584069303794,6.08772927542031,75.58329769243402,6.168889096959325,0.0,0.0,121923600,263104000
2020-01-16,76.4049072265625,6.197269916534424,0.0,0.0,76.5164030304954,6.203244910319221,75.64144129939321,6.143744266895241,76.00499720724181,6.167146128032976,0.0,0.0,108829200,284192000
2020-01-17,77.25078582763672,6.205982208251953,0.0,0.0,77.25320450403059,6.2239071863079785,76.34674080549438,6.1584315611473315,76.65454881201066,6.216438326739693,0.0,0.0,137816400,253792000
